seed,load_condition,submission_time_scale,cluster_shape,node_count,cpus_per_node,total_cpus,policy,jobs_completed,average_wait,median_wait,p95_wait,average_turnaround,throughput,cpu_utilization_percent
8,moderate,2,1x32,1,32,32,backfill,200,0.080000,0.000000,0,10.750000,0.319489,39.486821
8,moderate,2,2x16,2,16,32,fcfs,200,0.150000,0.000000,1,10.820000,0.319489,39.486821
8,moderate,2,2x16,2,16,32,sjf,200,0.120000,0.000000,0,10.790000,0.319489,39.486821
8,moderate,2,2x16,2,16,32,backfill,200,0.100000,0.000000,0,10.770000,0.319489,39.486821
8,moderate,2,4x8,4,8,32,fcfs,200,0.170000,0.000000,2,10.840000,0.319489,39.486821
8,moderate,2,4x8,4,8,32,sjf,200,0.130000,0.000000,0,10.800000,0.319489,39.486821
8,moderate,2,4x8,4,8,32,backfill,200,0.110000,0.000000,0,10.780000,0.319489,39.486821
8,heavy,1,1x32,1,32,32,fcfs,200,3.285000,1.000000,12,13.955000,0.621118,76.766304
8,heavy,1,1x32,1,32,32,sjf,200,2.360000,0.000000,11,13.030000,0.621118,76.766304
8,heavy,1,1x32,1,32,32,backfill,200,1.815000,0.000000,11,12.485000,0.621118,76.766304
8,heavy,1,2x16,2,16,32,fcfs,200,3.910000,2.000000,13,14.580000,0.621118,76.766304
8,heavy,1,2x16,2,16,32,sjf,200,3.760000,1.000000,16,14.430000,0.617284,76.292438
8,heavy,1,2x16,2,16,32,backfill,200,1.745000,0.000000,10,12.415000,0.621118,76.766304
8,heavy,1,4x8,4,8,32,fcfs,200,5.990000,5.000000,17,16.660000,0.613497,75.824387
8,heavy,1,4x8,4,8,32,sjf,200,4.340000,1.000000,19,15.010000,0.609756,75.362043
8,heavy,1,4x8,4,8,32,backfill,200,2.565000,0.000000,16,13.235000,0.621118,76.766304
9,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
9,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,10.035000,0.169779,19.330963
